empresa_id,data_encerramento,motivo
3,2026-01-31,Encerramento de atividades - venda de estoque para rede que assumiu a operacao em jan/2026. status_empresa no Consinco (MAX_EMPRESA) ainda nao foi atualizado pra INATIVA.
4,2026-01-31,Encerramento de atividades - venda de estoque para rede que assumiu a operacao em jan/2026. status_empresa no Consinco (MAX_EMPRESA) ainda nao foi atualizado pra INATIVA.
